id	H vs not-H	c100	c97.5	c95	c92.5	c90	c87.5	c85	c82.5	c80
C_1007	0	c100_4071	c97.5_2834	c95_1819	c92.5_1255	c90_882	c87.5_634	c85_443	c82.5_317	c80_225
C_776	0	c100_4070	c97.5_2833	c95_1818	c92.5_1254	c90_882	c87.5_634	c85_443	c82.5_317	c80_225
C_707	0	c100_4069	c97.5_2832	c95_1817	c92.5_1253	c90_881	c87.5_633	c85_442	c82.5_317	c80_225
C_711	0	c100_4068	c97.5_2831	c95_1817	c92.5_1253	c90_881	c87.5_633	c85_442	c82.5_317	c80_225
C_713	0	c100_4068	c97.5_2831	c95_1817	c92.5_1253	c90_881	c87.5_633	c85_442	c82.5_317	c80_225
C_657	0	c100_4072	c97.5_2835	c95_1820	c92.5_1256	c90_883	c87.5_635	c85_444	c82.5_318	c80_226
10_035280_5	0	c100_4064	c97.5_2827	c95_1813	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_035280_6	0	c100_4064	c97.5_2827	c95_1813	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_035280_7	0	c100_4064	c97.5_2827	c95_1813	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
08_1715	0	c100_4064	c97.5_2827	c95_1813	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_055513_2	0	c100_4063	c97.5_2827	c95_1813	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016490_1	0	c100_4062	c97.5_2826	c95_1812	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016490_2	0	c100_4062	c97.5_2826	c95_1812	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016490_3	0	c100_4062	c97.5_2826	c95_1812	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016486_1type1	0	c100_4065	c97.5_2828	c95_1814	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016486_1type2	0	c100_4065	c97.5_2828	c95_1814	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016486_2	0	c100_4065	c97.5_2828	c95_1814	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_016486_3	0	c100_4065	c97.5_2828	c95_1814	c92.5_1250	c90_878	c87.5_631	c85_440	c82.5_315	c80_224
10_055513_3	0	c100_4067	c97.5_2830	c95_1816	c92.5_1252	c90_880	c87.5_632	c85_441	c82.5_316	c80_224
10_055514_1	0	c100_4067	c97.5_2830	c95_1816	c92.5_1252	c90_880	c87.5_632	c85_441	c82.5_316	c80_224
