id	H vs not-H
C_1007	0
C_776	0
C_707	0
C_711	0
C_713	0
C_657	0
10_035280_5	0
10_035280_6	0
10_035280_7	0
08_1715	0
10_055513_2	0
10_016490_1	0
10_016490_2	0
10_016490_3	0
10_016486_1type1	0
10_016486_1type2	0
10_016486_2	0
10_016486_3	0
10_055513_3	0
10_055514_1	0
10_037614_3	0
C_838	0
C_853	0
C_856	0
CE_R_09_0204	0
C_952	0
10_043589_2	0
10_043590_1	0
10_039022_1	0
10_039022_2	0
10_039022_3	0
C_980	0
CE_R_11_0048	0
CE_R_11_0274	0
CE_R_11_0288	0
CE_R_11_0312	0
CE_R_10_0011	0
CE_R_10_0024	0
CE_R_10_0480	0
28_03_1	0
38_19_1	0
38_20_1	0
C_544	0
C_989	0
32_20_1	0
32_22_1	0
08_0095	0
10_019740_2	0
10_019741_1	0
10_039035_1	0
10_056301_2	0
10_058714_10	0
CE2_R2_11_3073	0
CE_R_10_0565	0
35_7_1	0
C_296	0
07_7317	0
07_7318	0
08_1720	0
10_036567_3	0
8_C653	0
9_C590	0
C_1118	0
C_1121	0
C_1233	0
C_1236	0
C_325	0
C_577	0
C590	0
C_621	0
C653	0
C_747	0
C_748	0
C806	0
C_893	0
C_917	0
C_963	0
C_975	0
CE_R_11_0200	0
CE_R_11_0210	0
CE_R_10_0286	0
27_02_1	0
33_27_3	0
27_17_1	0
27_01_1	0
07_7329	0
10_C806	0
08_0093	0
CE_M_10_4088	0
CE_M_10_4089	0
CE_M_10_4090	0
CE_R_11_0127	0
CE_R_11_0220	0
CE_R_11_0253	0
CE_R_11_0266	0
CE_R_10_0264	0
42_30_1	0
C_001	0
CAMPY2528_2012_369	0
34_13_3	0
C381	0
CE_R_09_0518	0
C_377	0
C_390	0
CE_R_09_0267	0
08_1718	0
37_7_2	0
CE_R_09_0079	0
10_036554_6	0
10_036554_7	0
10_057476_10	0
10_057476_11	0
10_057476_12	0
10_057476_13	0
10_057476_14	0
10_057476_9	0
10_059813_1	0
C_221	0
C_231	0
C_429	0
C_430	0
C_594	0
C_596	0
C_630	0
CE_R_09_0050	0
CE_R_09_0447	0
CE_R2_10_0046	0
CE_R2_11_0362	0
CE_R2_11_0482	0
CHSK_I_76	0
1329	0
37_4_1	0
10_0762	0
10_0766	0
10_0769	0
C_599	0
C_605	0
CE2_R_11_2047	0
10_0781	0
C863	0
C873	0
07_7327	0
C_502	0
06_2858	0
07_7316	0
10_019740_1	0
10_019740_3	0
C_971	0
10_005070_3	0
10_005072_3	0
10_007009_1	0
C_358	0
C_361	0
C_374	0
C_375	0
C_417	0
C_613	0
C_642	0
CA99CN070027	0
1117	0
1300	0
1302	0
C_078	0
C_181	0
C_189	0
C_192	0
C_196	0
C343	0
08_1705	0
1082	0
08_1717	0
10_0758	0
10_0759	0
10_0764	0
10_0788	0
C_034	0
C_1220	0
C_1221	0
C_1225	0
C_1230	0
C_217	0
C_765	0
C771	0
CE_R_11_0073	0
CE_R_11_0218	0
CE_R_11_0280	0
CHSK_I_14	0
CHSK_I_26	0
CHSK_I_28	0
CHSK_I_53	0
28_22_1	0
10_056820_6	0
10_056820_7	0
CE_R2_11_0380	0
CHSK_I_23	0
40_2_1	0
40_5_1	0
41_24_1	0
42_2_1	0
CHSK_I_46	0
37_2_3	0
37_16_1	0
41_26_2	0
10_0787	0
10_0767	0
10_058714_9	0
C_743	0
AMR_3352	0
C_004	0
C_801	0
CE_R2_11_0422	0
09_097254_1	0
CA99CN070036	0
CE_R2_10_0028	0
C_507	0
C_511	0
CE_R_09_0319	0
CE_R_09_0590	0
C505	0
CE_R_11_0033	0
CE_R_10_0005	0
CE_R_10_0089	0
10_056301_1	0
10_056301_3	0
10_056302_2	0
C_1180	0
C_1186	0
10_007008_5	0
10_007008_6	0
10_046334_1	0
CE_R_09_0154	0
CE_R_09_0160	0
CE_R_09_0176	0
38_10_1	0
C_151	0
CE_R_09_0152	0
08_1723	0
06_4098	0
CE_R_11_0298	0
1208	0
1229	0
CE_R_10_0197	0
CE_R_09_0346	0
CA99CN070024	0
C_1089	0
CE_R_09_0515	0
CE_R_09_0135	0
10_0786	0
C_953	0
C_1216	0
Cry_609	0
Cry_613	0
Cry_610	0
10_007008_7	0
10_050016_1	0
CA9910579_0008	0
CA9910579_0022	0
CI_0144	0
CI_0146	0
CI_0147	0
CI_0148	0
CI_0324	0
CI_0325	0
CI_0400	0
CI_0941	0
CI_0972	0
CI_0973	0
CI_0974	0
CI_1095	0
CI_1096	0
CI_4316	0
CI_4370	0
CI_4388	0
CE_M_09_2095	0
CE_M_09_2096	0
CE_M_09_3010	0
CE_M_09_3025	0
CE_M_09_3026	0
CE_M_09_3053	0
CE_M_09_3054	0
CE_M_09_3070	0
CE_M_09_3071	0
CE_M_09_3117	0
08_1704	0
CA99CN070034	0
CE_M_10_2003	0
CE_M_10_2037	0
CE_M_10_2096	0
CE_M_10_2108	0
CE_M_10_2113	0
CE_M_10_3034	0
CE_M_10_3050	0
CE_M_10_3051	0
CE_R_11_0025	0
AMR_4794	0
AMR_5878	0
AMR_5890	0
AMR_7698	0
AMR_8235	0
Cry_42	0
Cry_44	0
CI_6413	0
CI_6414	0
CI_6415	0
CI_6416	0
CI_6417	0
CI_6419	0
35_5_3	0
C_1139	0
C_1141	0
AMR_5880	0
Cry_154	0
CI_0145	0
CI_0323	0
CI_0149	0
AMR_298	0
AMR_553	0
C_1143	0
CI_1094	0
10_029296_1	0
10_029297_1	0
C080	0
C_1146	0
C_1147	0
CI_0314	0
CI_0316	0
CI_0317	0
CI_0318	0
CI_0319	0
CE_M_09_2082	0
CE_M_09_3009	0
06_6555	0
CE_R_10_0203	0
CI_6407	0
CI_6408	0
CI_6409	0
CI_6410	0
CI_6411	0
CI_6412	0
CI_6424	0
CI_6427	0
CI_6428	0
CI_6429	0
CI_6430	0
CI_6437	0
CI_6438	0
40_11_1	0
40_22_1	0
CE_M_09_2006	0
C_1009	0
C_982	0
C_1210	0
C_709	0
CE2_R2_11_2047	0
10_021853_15	0
10_021853_16	0
10_021853_17	0
06_4094	0
CE2_R_11_2069	0
C_499	0
CAMPY2528_2012_198	0
10_021853_10	0
10_021853_14	0
10_021853_12	0
10_021853_13	0
10_021853_11	0
Cry_593	0
Cry_612	0
CHSK_I_191	0
CHSK_I_47	0
10_0768	0
C_1068	0
C_175	0
C_852	0
CE_R_09_0229	0
CA99CN070015	0
CA99CN070018	0
CE_R2_11_0260	0
CE_R_10_0247	0
CHSK_I_104	0
CHSK_I_105	0
CHSK_I_107	0
CHSK_I_111	0
CHSK_I_120	0
CHSK_I_121	0
CHSK_I_122	0
CHSK_I_123	0
CHSK_I_139	0
CHSK_I_143	0
CHSK_I_154	0
CHSK_I_163	0
CHSK_I_165	0
CHSK_I_169	0
CHSK_I_171	0
CHSK_I_182	0
CHSK_I_184	0
CHSK_I_188	0
CHSK_I_193	0
CHSK_I_60	0
CHSK_I_63	0
CHSK_I_70	0
CHSK_I_82	0
CHSK_I_83	0
CHSK_I_84	0
CHSK_I_85	0
CHSK_I_87	0
CHSK_I_89	0
CHSK_I_98	0
Cry_548	0
Cry_569	0
Cry_590	0
Cry_592	0
Cry_595	0
CAMPY2528_2012_82	0
10_0757	0
CHSK_I_72	0
CHSK_I_80	0
37_1_3	0
37_3_1	0
Cry_568	0
CHSK_I_62	0
CHSK_I_73	0
Cry_575	0
C779	0
Cry_589	0
CHSK_I_174	0
CE2_R_11_2021	0
CE2_R_11_1035	0
CE2_R2_11_3162	0
CE_R_09_0284	0
CE2_R2_11_3051	0
CE2_R2_11_3112	0
CE2_R2_11_3115	0
CE2_R_11_2025	0
CE2_R_11_3053	0
CE2_R_11_3137	0
CHSK_I_166	0
CHSK_I_210	0
CHSK_I_152	0
CHSK_I_222	0
AMR_1341	0
10_000745_1	0
10_000745_2	0
10_000745_3	0
10_000745_8	0
10_000757_1	0
10_015551_2type1	0
10_015551_2type2	0
10_015551_4	0
10_015553_1	0
10_040016_5	0
10_040016_6	0
10_040016_7	0
10_042231_10	0
10_042231_9	0
10_050007_1	0
10_050007_2	0
10_050007_3	0
10_050007_4	0
10_050966_2	0
10_050966_3	0
10_050966_4	0
10_050966_5	0
10_059773_2	0
10_059773_3	0
C_066	0
C_075	0
C_1195	0
C_652	0
C_797	0
C_959	0
C_976	0
CE_R_11_0012	0
CE_R2_11_0227	0
10_004219_9	0
10_021882_1	0
10_032291_1	0
10_047700_6	0
10_047700_7	0
10_047700_8	0
10_056301_4	0
10_056301_5	0
10_056301_6	0
10_056302_1	0
CE_R_11_0133	0
10_021853_18type2	0
CE_R2_11_0440	0
10_000745_4	0
10_000745_5	0
10_000745_6	0
10_000745_7	0
10_009927_1	0
10_009927_3	0
10_009927_4	0
10_055061_3	0
CI_0673	0
CI_0674	0
CI_0676	0
CI_0677	0
CI_0679	0
CI_0680	0
CI_0682	0
CI_0683	0
CI_0684	0
CI_0685	0
CI_0686	0
CI_4337	0
CI_4338	0
CI_4339	0
NCTC_13258	0
NZ_T0157	0
NZ_T1012	0
CE_R_09_0147	0
CE_R_09_0456	0
CE2_R2_11_2018	0
CE2_R2_11_2036	0
CE2_R2_11_3017	0
CE2_R2_11_3048	0
CE2_R2_11_3081	0
CE2_R2_11_3096	0
CE2_R2_11_3108	0
CE2_R2_11_1022	0
CE2_R2_11_3014	0
CE2_R2_11_3015	0
CE2_R2_11_3085	0
CE2_R_11_1033	0
CE2_R_11_1039	0
CE2_R_11_2009	0
CE2_R_11_2059	0
CE2_R_11_2063	0
CE2_R_11_3009	0
CE2_R_11_3029	0
CE2_R_11_3139	0
CE2_R_11_3145	0
CE2_R_11_2077	0
CE2_R_11_3165	0
CE2_R_11_3167	0
CE_R_11_0170	0
CHSK_I_102	0
CHSK_I_103	0
CHSK_I_108	0
CHSK_I_124	0
CHSK_I_129	0
CHSK_I_135	0
CHSK_I_147	0
CHSK_I_148	0
CHSK_I_156	0
CHSK_I_162	0
CHSK_I_167	0
CHSK_I_18_2	0
CHSK_I_20_2	0
CHSK_I_201	0
CHSK_I_207	0
CHSK_I_209	0
CHSK_I_212	0
CHSK_I_213	0
CHSK_I_216	0
CHSK_I_217	0
CHSK_I_220	0
CHSK_I_221	0
CHSK_I_223	0
CHSK_I_225	0
CHSK_I_226	0
CHSK_I_230	0
CHSK_I_233	0
CHSK_I_61	0
CHSK_I_64	0
CHSK_I_75	0
CHSK_I_81	0
CHSK_I_88	0
CHSK_I_95	0
27_03_1	0
27_14_1	0
30_3_1	0
31_22_1	0
31_28_1	0
30_17_1	0
34_1_1	0
40_6_1	0
CAMPY2528_2012_27	0
CAMPY2528_2012_30	0
CAMPY2528_2012_78	0
CAMPY2528_2012_121	0
CAMPY2528_2012_125	0
