id	Project	Year	Date.num	Province	Region	Source	Sample type	CGF	eCGF	eCGF_100	eCGF95	MLST-ST	MLST-CC
CA10SH18599003501	CIPARS	2018	43154	BC	West	Turkey	Fecal	611.003	39	0611.003.001	611.003	829	ST-828 complex
CA10SH18599027401	CIPARS	2018	43306	BC	West	Turkey	Fecal	611.003	39	0611.003.001	611.003	829	ST-828 complex
CA10SH18599026701	CIPARS	2018	43306	BC	West	Turkey	Fecal	611.003	39	0611.003.001	611.003	829	ST-828 complex
CA10SH18599011901	CIPARS	2018	43218	ON	Central	Turkey	Fecal	611.003	39	0611.003.001	611.003	829	ST-828 complex
CA10SH18599013201	CIPARS	2018	43221	AB	West	Turkey	Fecal	611.003	39	0611.003.001	611.003	829	ST-828 complex
CA10SH18599006701	CIPARS	2018	43168	BC	West	Turkey	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
CA10SH18599025901	CIPARS	2018	43306	BC	West	Turkey	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
CA10SH18599020101	CIPARS	2018	43278	BC	West	Turkey	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
CA10SH18599021101	CIPARS	2018	43285	ON	Central	Turkey	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
CA10SH18599008301	CIPARS	2018	43178	BC	West	Turkey	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
CA10SH18599009901	CIPARS	2018	43180	BC	West	Turkey	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
13_088155_0028	MBS	2013	41590	QC	East	Chicken	Fecal	633.006	39	0633.006.002	633.006	3262	ST-828 complex
17_1348	FNC	2017	42797	ON	Central	Human	Stool	633.006	38	0633.006.005	633.006	3262	ST-828 complex
13_024138_0013	MBS	2013	41390	ON	Central	Chicken	Breast	633.006	39	0633.006.002	633.006	3262	ST-828 complex
19_05889	FNC	2019	43660	QC	East	Human	Stool	636.001	40	0636.001.001	636.001	1614	ST-828 complex
13_021044_0021	MBS	2013	41347	ON	Central	Chicken	Thigh	633.006	39	0633.006.002	633.006	1614	ST-828 complex
13_024096_0038	MBS	2013	41390	ON	Central	Chicken	Thigh	633.006	39	0633.006.002	633.006	1614	ST-828 complex
13_012696_0026	MBS	2013	41318	ON	Central	Chicken	Breast	633.006	39	0633.006.002	633.006	1614	ST-828 complex
13_016545_0025	MBS	2013	41332	ON	Central	Chicken	Fecal	633.006	39	0633.006.002	633.006	1614	ST-828 complex
13_094772_0025	MBS	2013	41605	ON	Central	Chicken	Fecal	633.006	39	0633.006.002	633.006	1614	ST-828 complex
16_1832	FNC	2016	42436	ON	Central	Human	Stool	633.006	39	0633.006.002	633.006	1614	ST-828 complex
13_043601_0024	MBS	2013	41429	ON	Central	Chicken	Thigh	633.006	39	0633.006.002	633.006	1614	ST-828 complex
12_109608_0019	MBS	2012	41264	ON	Central	Chicken	Breast	634.009	40	0634.009.002	634.009	1614	ST-828 complex
13_088171_0024	MBS	2013	41597	ON	Central	Chicken	Breast	633.006	39	0633.006.002	633.006	1614	ST-828 complex
13_050502_0019	MBS	2013	41453	QC	East	Chicken	Fecal	633.004	40	0633.004.007	633.004	831	ST-828 complex
13_086318_0020	MBS	2013	41585	AB	West	Chicken	Fecal	633.004	40	0633.004.007	633.004	831	ST-828 complex
13_060215_0027	MBS	2013	41516	QC	East	Chicken	Breast	633.006	39	0633.006.005	633.006	831	ST-828 complex
13_053319_0021	MBS	2013	41463	QC	East	Chicken	Breast	633.004	40	0633.004.007	633.004	831	ST-828 complex
08_0087	FNC	2007	39266	ON	Central	Chicken	Undefined	633.004	40	0633.004.007	633.004	-	-
13_003767_0017	MBS	2013	Undefined	Undefined	Undefined	Chicken	Undefined	633.004	40	0633.004.007	633.004	-	-
CA10SH18520028101	CIPARS	2018	43325	ON	Central	Swine	Fecal	633.004	40	0633.004.007	633.004	-	-
13_074844_0023	MBS	2013	41537	Undefined	Central	Chicken	Fecal	633.006	39	0633.006.005	633.006	-	-
CA10SH18520013101	CIPARS	2018	43223	ON	Central	Swine	Fecal	611.006	39	0611.006.003	611.006	1134	ST-828 complex
CA10SH18520013001	CIPARS	2018	43223	ON	Central	Swine	Fecal	611.006	39	0611.006.003	611.006	1134	ST-828 complex
CA10SH18520012701	CIPARS	2018	43223	ON	Central	Swine	Fecal	Undefined	37	Undefined	Undefined	1134	ST-828 complex
18_10459	FNC	2018	43462	AB	West	Human	Stool	611.006	38	0611.006.003	611.006	1134	ST-828 complex
CA10SH18520021001	CIPARS	2018	43290	ON	Central	Swine	Fecal	611.006	38	0611.006.003	611.006	1134	ST-828 complex
18_9403	FNC	2018	43411	AB	West	Human	Stool	611.006	38	0611.006.003	611.006	1134	ST-828 complex
CA10SH18520002301	CIPARS	2018	43164	ON	Central	Swine	Fecal	611.006	39	0611.006.003	611.006	2508	ST-828 complex
06_1504	FNC	2005	38433	ON	Central	Swine	Undefined	611.006	39	0611.006.003	611.006	2508	ST-828 complex
CA10SH18520004601	CIPARS	2018	43171	ON	Central	Swine	Fecal	611.006	38	0611.006.003	611.006	1134	ST-828 complex
CA10SH18520021201	CIPARS	2018	43291	ON	Central	Swine	Fecal	611.006	39	0611.006.003	611.006	1134	ST-828 complex
CA10SH18520020001	CIPARS	2018	43285	AB	West	Swine	Fecal	611.006	38	0611.006.003	611.006	2508	ST-828 complex
CA10SH18520019901	CIPARS	2018	43285	AB	West	Swine	Fecal	615.001	38	0615.001.001	615.001	2508	ST-828 complex
CA10SH18520012801	CIPARS	2018	43223	ON	Central	Swine	Fecal	611.006	38	0611.006.003	611.006	1102	ST-1102
CA10SH18520001001	CIPARS	2018	43151	ON	Central	Swine	Fecal	633.014	38	0633.014.003	633.014	1439	ST-828 complex
13_072761_0013	MBS	2013	41530	QC	East	Chicken	Fecal	633.016	38	0633.016.002	633.016	1134	ST-828 complex
CA10SH18520013201	CIPARS	2018	43223	ON	Central	Swine	Fecal	611.006	39	0611.006.003	611.006	1102	ST-1102
18_8532	FNC	2018	43376	BC	West	Human	Stool	631.002	39	0631.002.001	631.002	-	-
18_7404	FNC	2018	43348	AB	West	Human	Stool	631.002	39	0631.002.001	631.002	3241	ST-828 complex
18_8537	FNC	2018	43376	BC	West	Human	Stool	631.002	39	0631.002.001	631.002	-	-
CA10SH18588003301	CIPARS	2018	43153	AB	West	Chicken	Fecal	611.003	39	0611.003.001	611.003	829	ST-828 complex
08_6533	FNC	2008	Undefined	Undefined	Undefined	Undefined	Undefined	611.007	40	0611.007.005	611.007	829	ST-828 complex
13_082198_0014	MBS	2013	41562	ON	Central	Chicken	Fecal	611.007	40	0611.007.005	611.007	829	ST-828 complex
18_2035	FNC	2018	43181	BC	West	Human	Stool	591.001	39	0591.001.003	591.001	899	ST-828 complex
CA10SH18588039301	CIPARS	2018	43299	AB	West	Chicken	Fecal	592.001	39	0592.001.002	592.001	899	ST-828 complex
CA10SH18588028101	CIPARS	2018	43251	AB	West	Chicken	Fecal	591.001	39	0591.001.003	591.001	899	ST-828 complex
CA10SH18599025301	CIPARS	2018	Undefined	BC	West	Turkey	Fecal	592.001	39	0592.001.002	592.001	899	ST-828 complex
18_6107	FNC	2018	43307	BC	West	Human	Stool	611.003	40	0611.003.004	611.003	-	-
CA10SH18588009301	CIPARS	2018	43160	BC	West	Chicken	Fecal	592.001	39	0592.001.002	592.001	899	ST-828 complex
18_6030	FNC	2018	43306	AB	West	Human	Stool	591.001	39	0591.001.003	591.001	899	ST-828 complex
13_016884_0021	MBS	2013	41361	AB	West	Chicken	Thigh	592.001	39	0592.001.002	592.001	899	ST-828 complex
13_018135_0009	MBS	2013	41340	AB	West	Chicken	Thigh	591.001	39	0591.001.003	591.001	899	ST-828 complex
08_6344	FNC	2008	Undefined	Undefined	Undefined	Undefined	Undefined	591.001	38	0591.001.003	591.001	-	-
13_029917_0012	MBS	2013	41411	AB	West	Chicken	Thigh	592.001	39	0592.001.002	592.001	899	ST-828 complex
CA10SH18588043801	CIPARS	2018	43364	AB	West	Chicken	Fecal	592.001	39	0592.001.002	592.001	899	ST-828 complex
CA10SH18599002401	CIPARS	2018	43130	BC	West	Turkey	Fecal	592.001	39	0592.001.002	592.001	899	ST-828 complex
CA10SH18588047401	CIPARS	2018	43378	BC	West	Chicken	Fecal	591.001	39	0591.001.003	591.001	899	ST-828 complex
CA10SH18599005701	CIPARS	2018	43159	ON	Central	Turkey	Fecal	591.001	39	0591.001.003	591.001	899	ST-828 complex
CA10SH18599005801	CIPARS	2018	43159	ON	Central	Turkey	Fecal	591.001	39	0591.001.003	591.001	899	ST-828 complex
CA10SH18588043901	CIPARS	2018	43364	AB	West	Chicken	Fecal	591.001	39	0591.001.003	591.001	899	ST-828 complex
